id,Nombre,Edad,Departamento,Email
1,Juan Pérez,34,Ventas,juan.perez@ejemplo.com
2,Laura Jimenez,22,Recursos Humanos,laura.jimenez@ejemplo.com
3,Pablo Hernandez,33,Administración,pablo.hernandez@ejemplo.com
4,Sofia Castro,21,Logística,sofia.castro@ejemplo.com
5,Mario Ruiz,27,Recursos Humanos,mario.ruiz@ejemplo.com
6,Ana Torres,35,Administración,ana.torres@ejemplo.com
7,Luis Molina,31,Ventas,luis.molina@ejemplo.com
8,Carmen Sanchez,43,Ventas,carmen.sanchez@ejemplo.com
9,Carlos Lopez,25,Logística,carlos.lopez@ejemplo.com
10,Irene Garcia,22,Administración,irene.garcia@ejemplo.com
